,Adres,Postcode,Woningoppervlakte m2,Prijs
0,Eduard Verkadelaan 33,3584GS,61,275000
1,Eisenhowerlaan 274,3527HL,83,275000
2,Augusto Sandinostraat 33,3573ZB,100,415000
3,Pretoriadreef 62,3564BX,85,285000
4,Pelikaanstraat 3,3582SB,106,415000
5,Amsterdamsestraatweg 301 Bis,3551CG,108,435000
6,Rachmaninoffplantsoen 16,3533JW,90,285000
7,Braamstraat 20,3581TL,133,749000
8,Homeruslaan 1,3581MA,62,369000
9,Stadhouderslaan 6,3583JH,207,1085000
10,Satijnvlinder 42,3544VX,161,525000
11,Duurstedelaan 41,3525AM,101,400000
12,Karl Millockerhof 1,3543HV,128,499000
13,Tolsteegplantsoen 31 2,3523AK,59,285000
14,Van Humboldtstraat 103,3514GN,129,675000
15,Plesmanlaan 74,3555AR,106,325000
16,Schaakstraat 46,3554EL,116,389000
17,Donsvlinder 39,3544DP,122,425000
18,Slotlaan 38,3523HD,62,275000
19,Jacob Catsstraat 27,3521VE,95,425000
20,Hendrika Van Tussenbroekplantsoen 6 2,3533SX,68,300000
21,Bakhuizen Van Den Brinkstraat 51 Bis,3532GD,83,335000
22,Livingstonelaan 1000,3526JP,72,175000
23,Wolter Heukelslaan 49,3581ST,258,-
24,Oudegracht Aan de Werf 344,3511PK,71,400000
25,Jan Haringstraat 21,3554XV,102,345000
26,Nico Dostalstraat 7,3543JH,174,700000
27,Van Der Marckstraat 6 Bis,3554XK,17,90000
28,Albrecht Thaerlaan 62,3571EH,110,469000
29,Stadionlaan 49,3583RB,95,398000
30,Westinghousestraat 34,3555VC,59,289500
31,Verlengde Hoogravenseweg 145,3525BC,104,449000
32,Van Bijnkershoeklaan 3,3527XA,75,235000
33,Wageningseberg 340,3524LX,73,265000
34,Stuivingastraat 36,3544LE,130,450000
35,Himalaya 22,3524XD,100,315000
36,Haverstraat 40,3511ND,35,245000
37,Catharijnesingel 98 Bis,3511GT,111,579000
38,Dollardstraat 16,3522AL,85,299000
39,Seychellen 161,3524JC,94,339000
40,Otterstraat 93,3513CK,70,375000
41,Adikade 21,3531WS,100,449000
42,Jekerstraat 7 Bis,3521EB,87,375000
43,St.-ludgerusstraat 323,3553CX,91,299000
44,Trinidaddreef 9,3563SH,88,260000
45,Leonard Bernsteinkade 6,3543CC,156,575000
46,Aartsbisschop Romerostraat 535,3573AS,87,275000
47,Livingstonelaan 78,3526HN,70,225000
48,Nieuwe Keizersgracht 40 Bis,3514TZ,113,519000
49,Adriaanstraat 20,3581SE,105,600000
50,Asterstraat 23,3551SW,70,-
51,Lekplantsoen 17,3522GL,172,639000
52,Terschelling 19,3524AV,33,169000
53,Fortunadreef 55,3561EA,82,275000
54,Saharadreef 9,3564CV,131,275000
55,Amsterdamsestraatweg 909 C,3555HN,77,275000
56,Bataviastraat 28,3531XE,62,275000
57,Vlietstraat 16 A,3581SZ,55,325000
58,Louis Armstronglaan 584,3543EB,51,225000
59,Oranje Nassaulaan 47,3523VP,105,475000
60,Deliuslaan 112,3533JV,74,275000
